,pred_cluster,1,2,3,4
Basophils,1,0.5133333333333333,0.3404761904761905,0.06083333333333333,0.08535714285714285
CD4+ T-cells,1,0.6891666666666667,0.22066666666666668,0.028999999999999998,0.061166666666666675
CD4+ Tem,1,0.6075,0.2678333333333333,0.03666666666666667,0.08800000000000001
CD4+ memory T-cells,1,0.7241666666666666,0.17700000000000002,0.02333333333333333,0.0755
CD8+ T-cells,1,0.6258333333333334,0.24200000000000002,0.044000000000000004,0.08816666666666667
CD8+ Tcm,1,0.6808333333333334,0.209,0.024,0.08616666666666666
CD8+ naive T-cells,1,0.5746666666666667,0.32266666666666666,0.0575,0.04516666666666667
CMP,2,0.2755,0.5041190476190475,0.15416666666666667,0.06621428571428573
Class-switched memory B-cells,1,0.5375,0.3153333333333333,0.050666666666666665,0.09649999999999999
DC,2,0.38833333333333336,0.5049523809523809,0.06283333333333334,0.043880952380952375
Fibroblasts,3,0.16166666666666668,0.22633333333333333,0.5723333333333332,0.03966666666666667
Keratinocytes,2,0.3091666666666667,0.5061666666666667,0.13083333333333333,0.05383333333333334
Macrophages,1,0.6388333333333334,0.2778333333333334,0.005714285714285714,0.07761904761904762
Macrophages M2,1,0.5928333333333333,0.33549999999999996,0.03738095238095238,0.03428571428571429
Mast cells,1,0.6245,0.26583333333333337,0.009000000000000001,0.10066666666666667
Monocytes,1,0.8048809523809523,0.16833333333333333,0.016785714285714286,0.01
NKT,1,0.591,0.29116666666666663,0.032,0.08583333333333332
Pericytes,3,0.09966666666666667,0.3025,0.5298333333333333,0.068
Preadipocytes,1,0.7633333333333333,0.1638095238095238,0.005,0.06785714285714285
Sebocytes,2,0.2825,0.5121190476190476,0.1408333333333333,0.06454761904761905
Smooth muscle,4,0.1442857142857143,0.17666666666666667,0.14550000000000002,0.533547619047619
Th1 cells,4,0.2431190476190476,0.15,0.042,0.5648809523809524
Tregs,1,0.7829999999999999,0.15866666666666665,0.017,0.041333333333333326
cDC,1,0.741,0.16364285714285715,0.055,0.040357142857142855
naive B-cells,2,0.3636666666666667,0.5279523809523808,0.06766666666666667,0.04071428571428571
