"ENSEMBL ID","Symbol","log2FoldChange","p value","p value (adj)"
"ENSG00000114455.9","HHLA2",3.29735046285418,1.19608097987468e-06,0.015688675870954
"ENSG00000155974.7","GRIP1",1.80781846458881,1.36803940276892e-06,0.015688675870954
"ENSG00000233008.1","RP11-475O6.1",1.81536574711314,2.14310895446059e-05,0.119137531611448
"ENSG00000261520.1","DLGAP1-AS5",2.2712734625384,2.57145735981413e-05,0.119137531611448
"ENSG00000164669.8","INTS4L1",1.92045830291415,2.81011290891308e-05,0.119137531611448
"ENSG00000170927.10","PKHD1",2.54951028393048,3.11660790751956e-05,0.119137531611448
"ENSG00000270358.1","IGHV4-61",2.54156266236054,6.76769611035907e-05,0.189433623589543
"ENSG00000106278.7","PTPRZ1",2.24080121778476,7.43330402993499e-05,0.189433623589543
"ENSG00000118322.8","ATP10B",2.36969301603935,9.77039943852068e-05,0.205018186601908
"ENSG00000117983.13","MUC5B",2.69084140511012,9.8325778366803e-05,0.205018186601908
"ENSG00000065618.12","COL17A1",1.64986487845345,0.000149180829362992,0.220366412007782
"ENSG00000168143.8","FAM83B",2.5318254271576,0.000173943397263602,0.233516247977996
"ENSG00000211670.2","IGLV3-9",2.55123490019102,0.000190421866484933,0.233516247977996
"ENSG00000171724.2","VAT1L",-1.84417443250761,0.000203624213444363,0.233516247977996
"ENSG00000170579.10","DLGAP1",1.7990828072668,0.000219489653240859,0.239724508892017
"ENSG00000133063.11","CHIT1",-1.99317777578702,0.000301517745001798,0.286879102776234
"ENSG00000149948.9","HMGA2",2.66949372659861,0.000351529070707475,0.298617435768394
"ENSG00000223532.5","HLA-B",3.24120865131581,0.000392787129108932,0.321717861140332
"ENSG00000136883.8","KIF12",1.98268217149669,0.000406776158574714,0.321717861140332
"ENSG00000197301.3","RP11-366L20.2",2.28348265075257,0.000782513347094289,0.492954247103873
